Date,MaleAdmissions,MaleExits,MaleADP,MaleALOS,FemaleAdmissions,FemaleExits,FemaleADP,FemaleALOS,TotalAdmissions,TotalExits,TotalADP,TotalALOS
2015-01-31,236.0,237,21.20253165,21.20253164556962,45.0,46,27.612903,27.217391304347824,281.0,283,175.290322,22.180212014134277
2015-02-28,178.0,186,16.51075269,16.510752688172044,38.0,48,21.071428,14.3125,216.0,234,147.75,16.05982905982906
2015-03-31,223.0,225,21.23555556,21.235555555555557,54.0,42,24.903225,9.452380952380953,277.0,267,147.967741,19.382022471910112
2015-04-30,223.0,238,19.69327731,19.69327731092437,71.0,67,30.8,11.626865671641792,294.0,305,154.633333,17.921311475409837
2015-05-31,236.0,210,12.51904762,12.519047619047619,61.0,61,36.903225,16.049180327868854,297.0,271,163.709677,13.313653136531366
2015-06-30,181.0,183,17.77595628,17.775956284153004,40.0,44,29.5,27.045454545454547,221.0,227,169.9,19.572687224669604
2015-07-31,187.0,185,26.32972973,26.32972972972973,38.0,42,29.387096,24.261904761904763,225.0,227,161.677419,25.94713656387665
2015-08-31,144.0,137,22.47445255,22.474452554744527,41.0,41,23.48387,23.975609756097562,185.0,178,158.16129,22.820224719101123
2015-09-30,205.0,188,22.7712766,22.77127659574468,52.0,45,29.533333,15.377777777777778,257.0,233,178.666666,21.34334763948498
2015-10-31,211.0,227,21.31718062,21.31718061674009,67.0,76,32.903225,13.75,278.0,303,197.354838,19.419141914191417
2015-11-30,180.0,193,27.2746114,27.27461139896373,43.0,45,23.633333,22.77777777777778,223.0,238,159.333333,26.42436974789916
2015-12-31,161.0,165,27.13333333,27.133333333333333,46.0,45,26.32258,12.155555555555555,207.0,210,150.1,23.923809523809524
2016-01-31,197.0,177,146.967741,22.661016949152543,45.0,48,24.451612,17.166666666666668,242.0,225,171.419354,21.488888888888887
2016-02-29,208.0,185,164.517241,21.4,39.0,31,24.896551,21.193548387096776,247.0,216,189.413793,21.37037037037037
2016-03-31,197.0,220,152.064516,22.62727272727273,41.0,45,26.967741,16.666666666666668,238.0,265,179.032258,21.61509433962264
2016-04-30,198.0,197,141.7,23.746192893401016,51.0,51,26.133333,15.862745098039216,249.0,248,167.833333,22.125
2016-05-31,205.0,181,162.225806,19.370165745856355,46.0,39,29.580645,23.0,251.0,220,191.806451,20.013636363636362
2016-06-30,166.0,179,164.233333,28.910614525139664,28.0,34,26.866666,22.205882352941178,194.0,213,191.1,27.84037558685446
2016-07-31,137.0,176,134.387096,30.96590909090909,31.0,38,20.967741,23.789473684210527,168.0,214,155.354838,29.69158878504673
2016-08-31,148.0,141,124.548387,27.843971631205672,35.0,35,21.48387,21.2,183.0,176,146.032258,26.522727272727273
2016-09-30,200.0,195,128.1,19.374358974358973,56.0,54,20.4,13.75925925925926,256.0,249,148.5,18.156626506024097
2016-10-31,175.0,188,123.903225,20.872340425531913,48.0,46,23.48387,10.891304347826088,223.0,234,147.387096,18.91025641025641
2016-11-30,172.0,162,127.9,21.537037037037038,44.0,40,25.133333,12.75,216.0,202,153.033333,19.797029702970296
2016-12-31,158.0,170,124.677419,23.264705882352942,46.0,47,28.741935,21.085106382978722,204.0,217,153.419354,22.792626728110598
2017-01-31,201.0,185,126.741935,23.681081081081082,45.0,46,25.32258,21.130434782608695,246.0,231,152.064516,23.173160173160174
2017-02-28,184.0,175,140.928571,19.97714285714286,57.0,52,30.214285,15.576923076923077,241.0,227,171.142857,18.969162995594715
2017-03-31,195.0,190,144.838709,19.9,67.0,66,33.387096,13.515151515151516,262.0,256,178.225806,18.25390625
2017-04-30,210.0,199,152.733333,20.77889447236181,50.0,56,32.4,17.910714285714285,260.0,255,185.133333,20.149019607843137
2017-05-31,233.0,231,169.935483,22.92207792207792,76.0,72,30.354838,11.625,309.0,303,200.290322,20.237623762376238
2017-06-30,172.0,160,166.9,29.0125,58.0,55,34.7,21.98181818181818,230.0,215,201.6,27.21395348837209
2017-07-31,142.0,158,168.096774,33.5,38.0,42,29.48387,12.071428571428571,180.0,200,197.580645,29.0
2017-08-31,155.0,158,145.838709,29.803797468354432,33.0,43,21.16129,24.697674418604652,188.0,201,167.0,28.71144278606965
2017-09-30,173.0,178,156.5,26.54494382022472,55.0,49,22.933333,13.877551020408163,228.0,227,179.433333,23.81057268722467
2017-10-31,181.0,173,150.516129,26.61849710982659,53.0,44,29.903225,13.886363636363637,234.0,217,180.419354,24.036866359447004
2017-11-30,184.0,185,153.966666,21.221621621621622,53.0,57,32.7,15.596491228070175,237.0,242,186.666666,19.89669421487603
2017-12-31,175.0,174,166.0,25.24712643678161,57.0,56,29.548387,19.160714285714285,232.0,230,195.548387,23.765217391304347
2018-01-31,206.0,202,159.709677,28.153465346534652,53.0,56,27.677419,16.321428571428573,259.0,258,187.387096,25.585271317829456
2018-02-28,179.0,173,163.142857,27.358381502890172,62.0,58,33.892857,19.413793103448278,241.0,231,197.035714,25.363636363636363
2018-03-31,197.0,210,160.838709,21.01904761904762,59.0,52,37.870967,12.461538461538462,256.0,262,198.709677,19.3206106870229
2018-04-30,195.0,177,156.3,27.570621468926554,54.0,53,41.1,16.452830188679247,249.0,230,197.4,25.008695652173913
2018-05-31,180.0,204,157.32258,27.073529411764707,59.0,56,41.838709,26.946428571428573,239.0,260,199.16129,27.046153846153846
2018-06-30,152.0,158,142.833333,30.40506329113924,37.0,43,40.633333,26.627906976744185,189.0,201,183.466666,29.597014925373134
2018-07-31,135.0,125,146.419354,31.8,40.0,41,36.032258,29.4390243902439,175.0,166,182.451612,31.216867469879517
2018-08-31,161.0,157,158.032258,31.878980891719745,41.0,43,32.709677,32.906976744186046,202.0,200,190.741935,32.1
2018-09-30,196.0,158,167.466666,22.449367088607595,43.0,45,31.166666,15.11111111111111,239.0,203,198.566666,20.822660098522167
2018-10-31,222.0,224,187.709677,24.245535714285715,57.0,57,34.290322,18.473684210526315,279.0,281,222.0,23.07473309608541
2018-11-30,175.0,199,186.033333,30.36180904522613,73.0,72,31.433333,14.38888888888889,248.0,271,217.466666,26.118081180811807
2018-12-31,191.0,178,177.48387,27.235955056179776,51.0,49,33.225806,20.163265306122447,242.0,227,210.709677,25.709251101321588
2019-01-31,215.0,216,175.903225,29.26388888888889,61.0,67,34.741935,19.417910447761194,276.0,283,210.645161,26.93286219081272
2019-02-28,190.0,192,180.178571,23.359375,59.0,57,28.321428,16.49122807017544,249.0,249,208.5,21.78714859437751
2019-03-31,190.0,204,170.258064,30.044117647058822,47.0,46,31.16129,17.391304347826086,237.0,250,201.419354,27.716
2019-04-30,203.0,208,164.833333,25.572115384615383,82.0,82,32.533333,10.378048780487806,285.0,290,197.366666,21.275862068965516
2019-05-31,224.0,220,165.645161,26.618181818181817,59.0,61,33.451612,16.40983606557377,283.0,281,199.096774,24.402135231316727
2019-06-30,141.0,141,156.0,25.921985815602838,38.0,36,30.166666,28.444444444444443,179.0,177,186.166666,26.43502824858757
2019-07-31,147.0,156,158.290322,36.1474358974359,46.0,42,35.548387,20.952380952380953,193.0,198,193.838709,32.92424242424242
2019-08-31,129.0,148,143.387096,32.695945945945944,50.0,54,32.677419,21.87037037037037,179.0,202,176.064516,29.801980198019802
2019-09-30,220.0,176,159.033333,22.119318181818183,54.0,42,32.0,16.166666666666668,274.0,218,191.033333,20.972477064220183
2019-10-31,202.0,221,176.935483,24.4841628959276,47.0,57,40.354838,18.42105263157895,249.0,278,217.2903226,23.241007194244606
2019-11-30,205.0,199,167.666666,27.14572864321608,56.0,57,33.8,17.0,261.0,256,201.4666667,24.88671875
2019-12-31,183.0,193,163.16129,22.321243523316063,57.0,61,32.935483,26.065573770491802,240.0,254,196.0967742,23.22047244094488
2020-01-31,184.0,194,156.48387,31.103092783505154,65.0,53,34.290322,11.773584905660377,249.0,247,190.7741935,26.955465587044536
2020-02-29,201.0,206,152.586206,20.436893203883496,71.0,60,46.571428,17.6,272.0,266,199.3448276,19.796992481203006
2020-03-31,152.0,156,143.967741,24.55128205128205,48.0,58,44.838709,24.56896551724138,200.0,214,188.8064516,24.55607476635514
2020-04-30,79.0,79,137.633333,24.253164556962027,25.0,31,38.466666,19.870967741935484,104.0,110,176.1,23.01818181818182
2020-05-31,59.0,74,130.032258,57.58108108108108,20.0,27,30.774193,51.74074074074074,79.0,101,160.8064516,56.01980198019802
2020-06-30,72.0,61,126.8,49.50819672131148,22.0,21,25.866666,49.857142857142854,94.0,82,152.6666667,49.59756097560975
2020-07-31,67.0,70,135.16129,48.785714285714285,20.0,23,29.48387,21.869565217391305,87.0,93,165.0645161,42.12903225806452
2020-08-31,57.0,67,120.806451,55.61194029850746,21.0,24,23.935483,38.75,78.0,91,144.7419355,51.16483516483517
2020-09-30,94.0,83,121.2,49.91566265060241,24.0,27,19.433333,54.18518518518518,118.0,110,140.6333333,50.96363636363636
2020-10-31,80.0,74,130.387096,42.486486486486484,29.0,24,23.870967,16.0,109.0,98,154.2580645,36.0
2020-11-30,71.0,63,135.4,47.04761904761905,26.0,25,24.066666,25.08,97.0,88,159.4666667,40.80681818181818
2020-12-31,66.0,77,128.838709,52.493506493506494,30.0,35,25.387096,39.42857142857143,96.0,112,154.2258065,48.410714285714285
2021-01-31,76.0,73,134.0,67.8082191780822,21.0,24,20.709677,33.916666666666664,97.0,97,154.7096774,59.422680412371136
2021-02-28,67.0,71,130.357142,47.521126760563384,17.0,17,16.785714,36.470588235294116,84.0,88,147.1428571,45.38636363636363
2021-03-31,79.0,78,138.129032,60.48717948717949,23.0,18,20.225806,12.555555555555555,102.0,96,158.3548387,51.5
2021-04-30,95.0,86,133.633333,38.30232558139535,22.0,27,19.966666,35.370370370370374,117.0,113,153.6,37.60176991150443
2021-05-31,90.0,92,148.096774,61.83695652173913,38.0,34,19.838709,14.558823529411764,128.0,126,167.9354839,49.07936507936508
2021-06-30,99.0,97,140.533333,34.11340206185567,35.0,34,21.433333,16.176470588235293,134.0,131,161.9666667,29.458015267175572
2021-07-31,67.0,91,133.774193,64.58241758241758,30.0,22,26.451612,30.727272727272727,97.0,113,160.225806,57.991150442477874
2021-08-31,84.0,89,108.48387,50.8876404494382,26.0,30,30.032258,24.833333333333332,110.0,119,138.516129,44.319327731092436
2021-09-30,102.0,108,123.806451,44.27777777777778,39.0,43,24.2,21.790697674418606,141.0,151,145.266666,37.87417218543046
